Algorithm,Type,KeyBits,BlockSize,Entropy,ΔMem(MB),EncTime,DecTime,FileSize
AES-128,Block,128,16,7.839381528482181,0.16796875,0.0003253618876139323,8.742014567057291e-06,1KB
AES-192,Block,192,16,7.840941180862836,0.00390625,1.4940897623697916e-05,6.516774495442708e-06,1KB
AES-256,Block,256,16,7.847675246022841,0.0078125,1.4702479044596354e-05,6.4373016357421875e-06,1KB
DES,Block,64,8,7.828725068347723,0.03515625,0.0001212755839029948,1.5735626220703125e-05,1KB
3DES,Block,192,8,7.795283474014395,0.0390625,7.526079813639323e-05,5.0226847330729164e-05,1KB
Blowfish,Block,64,8,7.786642971995603,0.0078125,3.925959269205729e-05,2.9325485229492188e-05,1KB
RC2,Block,64,8,7.8421849962259,0.01171875,2.9325485229492188e-05,1.4225641886393229e-05,1KB
RC4,Stream,256,N/A,7.795078793670078,0.00390625,2.2252400716145832e-05,7.470448811848958e-06,1KB
ChaCha20,Stream,256,N/A,7.790941247699946,0.0,2.1139780680338543e-05,7.152557373046875e-06,1KB
Salsa20,Stream,256,N/A,7.836752094102427,0.0,1.5020370483398438e-05,7.152557373046875e-06,1KB
AES-128,Block,128,16,7.999843074368278,2.01171875,0.0010437170664469402,0.0010227362314860027,1MB
AES-192,Block,192,16,7.999832864167063,2.01171875,0.000972906748453776,0.0009157657623291016,1MB
AES-256,Block,256,16,7.999809998285904,2.01171875,0.0010817845662434895,0.000965118408203125,1MB
DES,Block,64,8,7.999831462898453,2.01171875,0.010245958964029947,0.009105841318766275,1MB
3DES,Block,192,8,7.999818059818263,2.0078125,0.030053138732910156,0.029144684473673504,1MB
Blowfish,Block,64,8,7.999846045057081,2.01171875,0.003924449284871419,0.003647406895955404,1MB
RC2,Block,64,8,7.999838657562615,2.0078125,0.017853577931722004,0.009398698806762695,1MB
RC4,Stream,256,N/A,7.999823810740592,2.01171875,0.0033510526021321616,0.0027916431427001953,1MB
ChaCha20,Stream,256,N/A,7.9998173174067695,2.0078125,0.002666632334391276,0.0025211175282796225,1MB
Salsa20,Stream,256,N/A,7.999838354011709,2.0078125,0.0028673013051350913,0.0028160413106282554,1MB
AES-128,Block,128,16,7.999998518566659,200.01171875,0.07968099912007649,0.0795575777689616,100MB
AES-192,Block,192,16,7.999998159812408,200.01171875,0.07676013310750325,0.07898863156636556,100MB
AES-256,Block,256,16,7.999998066132179,200.0078125,0.0775294303894043,0.07644216219584148,100MB
DES,Block,64,8,7.999998122702452,200.12890625,0.9127984046936035,0.9118144512176514,100MB
3DES,Block,192,8,7.999998223090242,199.94921875,2.865386486053467,2.851231654485067,100MB
Blowfish,Block,64,8,7.999998091848014,200.0078125,0.3812744617462158,0.35555068651835126,100MB
RC2,Block,64,8,7.999998082685755,200.0078125,1.7392120361328125,0.9312554995218912,100MB
RC4,Stream,256,N/A,7.999998210452704,200.0078125,0.2968258857727051,0.2765185038248698,100MB
ChaCha20,Stream,256,N/A,7.999998267830973,200.0078125,0.23998045921325684,0.24387327829996744,100MB
Salsa20,Stream,256,N/A,7.999998254217187,199.9765625,0.28479711214701336,0.28599341710408527,100MB
